,Param Pair,Avg Accuracy
10,"(2, 10, 0.1)",0.7367636375041202
6,"(2, 5, 0.7666666666666666)",0.7362155678400947
408,"(82, 5, 0.9888888888888888)",0.735734125393271
305,"(62, 5, 0.6555555555555556)",0.7352666855762138
459,"(92, 5, 1.1)",0.734968608355643
31,"(2, 20, 0.2111111111111111)",0.7342057398734178
158,"(32, 5, 0.9888888888888888)",0.7340140225052825
43,"(2, 25, 0.43333333333333335)",0.7331427217666022
309,"(62, 5, 1.1)",0.7331408702077902
48,"(2, 25, 0.9888888888888888)",0.7331135355860321
404,"(82, 5, 0.5444444444444444)",0.7330438863597429
24,"(2, 15, 0.5444444444444444)",0.7330386969680454
57,"(12, 5, 0.8777777777777777)",0.7329109142821475
37,"(2, 20, 0.8777777777777777)",0.7326084257260332
100,"(22, 5, 0.1)",0.7317391490264604
255,"(52, 5, 0.6555555555555556)",0.7311201196299522
150,"(32, 5, 0.1)",0.7303550530611146
303,"(62, 5, 0.43333333333333335)",0.7302839456643386
25,"(2, 15, 0.6555555555555556)",0.7299513569553315
254,"(52, 5, 0.5444444444444444)",0.729936906682585
33,"(2, 20, 0.43333333333333335)",0.729677047254525
259,"(52, 5, 1.1)",0.72961158069277
4,"(2, 5, 0.5444444444444444)",0.7292665473400739
301,"(62, 5, 0.2111111111111111)",0.7288392127252518
359,"(72, 5, 1.1)",0.7286285946586621
251,"(52, 5, 0.2111111111111111)",0.7278303302271297
103,"(22, 5, 0.43333333333333335)",0.7275458713848064
406,"(82, 5, 0.7666666666666666)",0.7273335180165016
154,"(32, 5, 0.5444444444444444)",0.7271753122072105
250,"(52, 5, 0.1)",0.7271727905863715
202,"(42, 5, 0.3222222222222222)",0.7270661758126794
153,"(32, 5, 0.43333333333333335)",0.72693333920649
403,"(82, 5, 0.43333333333333335)",0.7266357542080215
253,"(52, 5, 0.43333333333333335)",0.7264772080281874
306,"(62, 5, 0.7666666666666666)",0.7261634143107021
457,"(92, 5, 0.8777777777777777)",0.7248635040846544
50,"(12, 5, 0.1)",0.7246446986609706
354,"(72, 5, 0.5444444444444444)",0.7243272231413866
20,"(2, 15, 0.1)",0.7238994131066459
59,"(12, 5, 1.1)",0.722997083499854
151,"(32, 5, 0.2111111111111111)",0.7227645023972876
157,"(32, 5, 0.8777777777777777)",0.7227339600681495
105,"(22, 5, 0.6555555555555556)",0.7225530652938683
156,"(32, 5, 0.7666666666666666)",0.7225117672484312
204,"(42, 5, 0.5444444444444444)",0.7221904367823585
454,"(92, 5, 0.5444444444444444)",0.7215339694470678
257,"(52, 5, 0.8777777777777777)",0.7214499590145758
104,"(22, 5, 0.5444444444444444)",0.720237399739655
357,"(72, 5, 0.8777777777777777)",0.7190354495076221
307,"(62, 5, 0.8777777777777777)",0.7190258453636406
14,"(2, 10, 0.5444444444444444)",0.7189097001273937
402,"(82, 5, 0.3222222222222222)",0.7187589516448363
452,"(92, 5, 0.3222222222222222)",0.718495534318796
55,"(12, 5, 0.6555555555555556)",0.7183146185748976
300,"(62, 5, 0.1)",0.7177202269836784
38,"(2, 20, 0.9888888888888888)",0.7173601638900461
304,"(62, 5, 0.5444444444444444)",0.7172432427896911
51,"(12, 5, 0.2111111111111111)",0.7166806889386452
209,"(42, 5, 1.1)",0.7165739537826019
302,"(62, 5, 0.3222222222222222)",0.7162184810760118
458,"(92, 5, 0.9888888888888888)",0.71612414404157
358,"(72, 5, 0.9888888888888888)",0.7159099055824918
409,"(82, 5, 1.1)",0.7157290451977275
401,"(82, 5, 0.2111111111111111)",0.7156052118584105
256,"(52, 5, 0.7666666666666666)",0.7152476090855232
19,"(2, 10, 1.1)",0.7152184510361137
356,"(72, 5, 0.7666666666666666)",0.7145110222788486
101,"(22, 5, 0.2111111111111111)",0.7141755578918265
107,"(22, 5, 0.8777777777777777)",0.7138447942968578
201,"(42, 5, 0.2111111111111111)",0.7129389887866238
206,"(42, 5, 0.7666666666666666)",0.7124247862795775
12,"(2, 10, 0.3222222222222222)",0.7124020884406919
56,"(12, 5, 0.7666666666666666)",0.7122849684187599
200,"(42, 5, 0.1)",0.7117990938467577
109,"(22, 5, 1.1)",0.7117603909623539
405,"(82, 5, 0.6555555555555556)",0.7115768729080073
102,"(22, 5, 0.3222222222222222)",0.7110493779390561
252,"(52, 5, 0.3222222222222222)",0.7108379078326318
53,"(12, 5, 0.43333333333333335)",0.7106504916120053
450,"(92, 5, 0.1)",0.7100749457361142
352,"(72, 5, 0.3222222222222222)",0.7091137286833231
353,"(72, 5, 0.43333333333333335)",0.7084764947013994
453,"(92, 5, 0.43333333333333335)",0.7055855812997665
407,"(82, 5, 0.8777777777777777)",0.7053362156227146
152,"(32, 5, 0.3222222222222222)",0.7050409524812893
455,"(92, 5, 0.6555555555555556)",0.7043587457005579
207,"(42, 5, 0.8777777777777777)",0.7041910115480116
456,"(92, 5, 0.7666666666666666)",0.7036832285476209
308,"(62, 5, 0.9888888888888888)",0.7012919516953782
451,"(92, 5, 0.2111111111111111)",0.7012701759793647
106,"(22, 5, 0.7666666666666666)",0.7003010312893801
58,"(12, 5, 0.9888888888888888)",0.698536599559815
36,"(2, 20, 0.7666666666666666)",0.6943118300045967
400,"(82, 5, 0.1)",0.6932424243292304
414,"(82, 10, 0.5444444444444444)",0.6924697999015732
467,"(92, 10, 0.8777777777777777)",0.687842408206565
258,"(52, 5, 0.9888888888888888)",0.6849611617445023
218,"(42, 10, 0.9888888888888888)",0.6830095984044358
362,"(72, 10, 0.3222222222222222)",0.6813637674233171
114,"(22, 10, 0.5444444444444444)",0.6811197997747858
361,"(72, 10, 0.2111111111111111)",0.6806107059281518
262,"(52, 10, 0.3222222222222222)",0.6798956662160439
269,"(52, 10, 1.1)",0.6792386690311603
360,"(72, 10, 0.1)",0.6784616856038961
319,"(62, 10, 1.1)",0.6778319982901946
159,"(32, 5, 1.1)",0.6770822068623765
460,"(92, 10, 0.1)",0.676762343255574
214,"(42, 10, 0.5444444444444444)",0.6755871668217492
219,"(42, 10, 1.1)",0.6748948564293777
413,"(82, 10, 0.43333333333333335)",0.6741172895711557
415,"(82, 10, 0.6555555555555556)",0.6733414833775337
469,"(92, 10, 1.1)",0.6732325411478282
67,"(12, 10, 0.8777777777777777)",0.6722024380273515
418,"(82, 10, 0.9888888888888888)",0.6716615655125145
217,"(42, 10, 0.8777777777777777)",0.6705584625208544
366,"(72, 10, 0.7666666666666666)",0.6696519482236367
264,"(52, 10, 0.5444444444444444)",0.6693208403663562
116,"(22, 10, 0.7666666666666666)",0.669242083378587
263,"(52, 10, 0.43333333333333335)",0.6684711339326006
462,"(92, 10, 0.3222222222222222)",0.6684438319326653
363,"(72, 10, 0.43333333333333335)",0.6680510502285257
412,"(82, 10, 0.3222222222222222)",0.6679355015888204
66,"(12, 10, 0.7666666666666666)",0.666707318858808
416,"(82, 10, 0.7666666666666666)",0.6666575422461956
61,"(12, 10, 0.2111111111111111)",0.666616638971124
410,"(82, 10, 0.1)",0.6663593370172809
411,"(82, 10, 0.2111111111111111)",0.6661603857601517
265,"(52, 10, 0.6555555555555556)",0.6660278975577549
321,"(62, 15, 0.2111111111111111)",0.6657664727059507
261,"(52, 10, 0.2111111111111111)",0.6657462802195817
316,"(62, 10, 0.7666666666666666)",0.6657003344000539
419,"(82, 10, 1.1)",0.6639394667054327
160,"(32, 10, 0.1)",0.6635778766863061
168,"(32, 10, 0.9888888888888888)",0.6634409047396892
164,"(32, 10, 0.5444444444444444)",0.6628227167088228
318,"(62, 10, 0.9888888888888888)",0.6618330784780672
212,"(42, 10, 0.3222222222222222)",0.6616965189693629
118,"(22, 10, 0.9888888888888888)",0.6612450674908034
163,"(32, 10, 0.43333333333333335)",0.6612307563723425
417,"(82, 10, 0.8777777777777777)",0.66074499321152
216,"(42, 10, 0.7666666666666666)",0.6607363405357415
468,"(92, 10, 0.9888888888888888)",0.6606737680587675
266,"(52, 10, 0.7666666666666666)",0.660617034066551
466,"(92, 10, 0.7666666666666666)",0.66003863036686
119,"(22, 10, 1.1)",0.659989578360255
69,"(12, 10, 1.1)",0.6596520041130938
112,"(22, 10, 0.3222222222222222)",0.6594457675696523
210,"(42, 10, 0.1)",0.6593226800302834
162,"(32, 10, 0.3222222222222222)",0.6589223633796267
165,"(32, 10, 0.6555555555555556)",0.6587726555532303
365,"(72, 10, 0.6555555555555556)",0.6587229576988585
117,"(22, 10, 0.8777777777777777)",0.6585330788687092
110,"(22, 10, 0.1)",0.6583230220794617
211,"(42, 10, 0.2111111111111111)",0.6579069706857863
317,"(62, 10, 0.8777777777777777)",0.657558199972598
313,"(62, 10, 0.43333333333333335)",0.65700177403705
312,"(62, 10, 0.3222222222222222)",0.6567209776750937
113,"(22, 10, 0.43333333333333335)",0.6566651429382182
314,"(62, 10, 0.5444444444444444)",0.6565323899544242
64,"(12, 10, 0.5444444444444444)",0.6561330104289986
260,"(52, 10, 0.1)",0.6560621769754916
463,"(92, 10, 0.43333333333333335)",0.6555298506300966
367,"(72, 10, 0.8777777777777777)",0.6544285273029178
310,"(62, 10, 0.1)",0.654405394674753
60,"(12, 10, 0.1)",0.6542510774918553
464,"(92, 10, 0.5444444444444444)",0.6520063099998819
166,"(32, 10, 0.7666666666666666)",0.6519689669277646
315,"(62, 10, 0.6555555555555556)",0.6519644936220997
213,"(42, 10, 0.43333333333333335)",0.651827762273723
68,"(12, 10, 0.9888888888888888)",0.6511541425218249
63,"(12, 10, 0.43333333333333335)",0.6509638797216033
461,"(92, 10, 0.2111111111111111)",0.6503741224422022
267,"(52, 10, 0.8777777777777777)",0.6498917768141639
268,"(52, 10, 0.9888888888888888)",0.6498790202763166
311,"(62, 10, 0.2111111111111111)",0.6490089710227848
167,"(32, 10, 0.8777777777777777)",0.6482756691054516
115,"(22, 10, 0.6555555555555556)",0.6470874239039718
120,"(22, 15, 0.1)",0.6460894464511947
368,"(72, 10, 0.9888888888888888)",0.6448342090194237
369,"(72, 10, 1.1)",0.6420799870648125
465,"(92, 10, 0.6555555555555556)",0.642033481015783
124,"(22, 15, 0.5444444444444444)",0.6419877073572522
111,"(22, 10, 0.2111111111111111)",0.6409554623310381
122,"(22, 15, 0.3222222222222222)",0.6399342871004302
65,"(12, 10, 0.6555555555555556)",0.6395429553165054
79,"(12, 15, 1.1)",0.6384221953167935
123,"(22, 15, 0.43333333333333335)",0.6374244924974001
276,"(52, 15, 0.7666666666666666)",0.6360926750687661
472,"(92, 15, 0.3222222222222222)",0.6357234301433927
227,"(42, 15, 0.8777777777777777)",0.6349929897105407
323,"(62, 15, 0.43333333333333335)",0.6347805137809786
62,"(12, 10, 0.3222222222222222)",0.6346555415432519
215,"(42, 10, 0.6555555555555556)",0.6339523135358427
174,"(32, 15, 0.5444444444444444)",0.6335457569279906
364,"(72, 10, 0.5444444444444444)",0.6335103726840853
275,"(52, 15, 0.6555555555555556)",0.6319858250450912
377,"(72, 15, 0.8777777777777777)",0.6315686274662495
425,"(82, 15, 0.6555555555555556)",0.6309932906421916
429,"(82, 15, 1.1)",0.6300819553794017
169,"(32, 10, 1.1)",0.6292886214399556
470,"(92, 15, 0.1)",0.6291736994502694
424,"(82, 15, 0.5444444444444444)",0.6285704564826116
329,"(62, 15, 1.1)",0.6282494420271453
176,"(32, 15, 0.7666666666666666)",0.6271145455354318
126,"(22, 15, 0.7666666666666666)",0.6271020422724912
423,"(82, 15, 0.43333333333333335)",0.6269129053997444
378,"(72, 15, 0.9888888888888888)",0.6267151684278245
161,"(32, 10, 0.2111111111111111)",0.626276103849847
75,"(12, 15, 0.6555555555555556)",0.6261315096575588
474,"(92, 15, 0.5444444444444444)",0.6259627393384757
178,"(32, 15, 0.9888888888888888)",0.625776389694608
128,"(22, 15, 0.9888888888888888)",0.6253674029152732
370,"(72, 15, 0.1)",0.6251603764321568
220,"(42, 15, 0.1)",0.6250347006077985
170,"(32, 15, 0.1)",0.6248372964719374
177,"(32, 15, 0.8777777777777777)",0.6246839473428364
375,"(72, 15, 0.6555555555555556)",0.6243971795848657
273,"(52, 15, 0.43333333333333335)",0.6232578957152712
322,"(62, 15, 0.3222222222222222)",0.6230421255338873
374,"(72, 15, 0.5444444444444444)",0.6224711440769181
277,"(52, 15, 0.8777777777777777)",0.6222442267633504
475,"(92, 15, 0.6555555555555556)",0.6216197543658607
