,Param Pair,Avg Accuracy
35,"(4, 9)",0.907900388878699
440,"(49, 9)",0.9053494081274309
395,"(44, 9)",0.9053494081274309
152,"(17, 9)",0.9053494081274309
278,"(31, 9)",0.9053494081274309
386,"(43, 9)",0.9053494081274309
287,"(32, 9)",0.9053494081274309
134,"(15, 9)",0.9053494081274309
44,"(5, 9)",0.9053494081274309
296,"(33, 9)",0.9053494081274309
377,"(42, 9)",0.9053494081274309
125,"(14, 9)",0.9053494081274309
305,"(34, 9)",0.9053494081274309
53,"(6, 9)",0.9053494081274309
116,"(13, 9)",0.9053494081274309
368,"(41, 9)",0.9053494081274309
314,"(35, 9)",0.9053494081274309
107,"(12, 9)",0.9053494081274309
323,"(36, 9)",0.9053494081274309
62,"(7, 9)",0.9053494081274309
98,"(11, 9)",0.9053494081274309
359,"(40, 9)",0.9053494081274309
332,"(37, 9)",0.9053494081274309
89,"(10, 9)",0.9053494081274309
71,"(8, 9)",0.9053494081274309
341,"(38, 9)",0.9053494081274309
80,"(9, 9)",0.9053494081274309
269,"(30, 9)",0.9053494081274309
143,"(16, 9)",0.9053494081274309
413,"(46, 9)",0.9053494081274309
404,"(45, 9)",0.9053494081274309
215,"(24, 9)",0.9053494081274309
206,"(23, 9)",0.9053494081274309
431,"(48, 9)",0.9053494081274309
224,"(25, 9)",0.9053494081274309
197,"(22, 9)",0.9053494081274309
422,"(47, 9)",0.9053494081274309
233,"(26, 9)",0.9053494081274309
188,"(21, 9)",0.9053494081274309
161,"(18, 9)",0.9053494081274309
242,"(27, 9)",0.9053494081274309
179,"(20, 9)",0.9053494081274309
350,"(39, 9)",0.9053494081274309
251,"(28, 9)",0.9053494081274309
170,"(19, 9)",0.9053494081274309
260,"(29, 9)",0.9053494081274309
250,"(28, 8)",0.8964491523730574
151,"(17, 8)",0.8964491523730574
97,"(11, 8)",0.8964491523730574
331,"(37, 8)",0.8964491523730574
223,"(25, 8)",0.8964491523730574
259,"(29, 8)",0.8964491523730574
205,"(23, 8)",0.8964491523730574
196,"(22, 8)",0.8964491523730574
88,"(10, 8)",0.8964491523730574
340,"(38, 8)",0.8964491523730574
268,"(30, 8)",0.8964491523730574
214,"(24, 8)",0.8964491523730574
79,"(9, 8)",0.8964491523730574
169,"(19, 8)",0.8964491523730574
277,"(31, 8)",0.8964491523730574
322,"(36, 8)",0.8964491523730574
178,"(20, 8)",0.8964491523730574
232,"(26, 8)",0.8964491523730574
313,"(35, 8)",0.8964491523730574
115,"(13, 8)",0.8964491523730574
349,"(39, 8)",0.8964491523730574
187,"(21, 8)",0.8964491523730574
304,"(34, 8)",0.8964491523730574
124,"(14, 8)",0.8964491523730574
241,"(27, 8)",0.8964491523730574
142,"(16, 8)",0.8964491523730574
286,"(32, 8)",0.8964491523730574
295,"(33, 8)",0.8964491523730574
133,"(15, 8)",0.8964491523730574
160,"(18, 8)",0.8964491523730574
106,"(12, 8)",0.8964491523730574
367,"(41, 8)",0.8964491523730574
412,"(46, 8)",0.8964491523730574
439,"(49, 8)",0.8964491523730574
34,"(4, 8)",0.8964491523730574
52,"(6, 8)",0.8964491523730574
61,"(7, 8)",0.8964491523730574
430,"(48, 8)",0.8964491523730574
43,"(5, 8)",0.8964491523730574
70,"(8, 8)",0.8964491523730574
403,"(45, 8)",0.8964491523730574
376,"(42, 8)",0.8964491523730574
421,"(47, 8)",0.8964491523730574
358,"(40, 8)",0.8964491523730574
385,"(43, 8)",0.8964491523730574
394,"(44, 8)",0.8964491523730574
26,"(3, 9)",0.8961892966757571
25,"(3, 8)",0.8961892966757571
33,"(4, 7)",0.8869309510875325
285,"(32, 7)",0.8869309510875325
78,"(9, 7)",0.8869309510875325
150,"(17, 7)",0.8869309510875325
393,"(44, 7)",0.8869309510875325
141,"(16, 7)",0.8869309510875325
42,"(5, 7)",0.8869309510875325
294,"(33, 7)",0.8869309510875325
384,"(43, 7)",0.8869309510875325
132,"(15, 7)",0.8869309510875325
276,"(31, 7)",0.8869309510875325
168,"(19, 7)",0.8869309510875325
159,"(18, 7)",0.8869309510875325
420,"(47, 7)",0.8869309510875325
438,"(49, 7)",0.8869309510875325
222,"(25, 7)",0.8869309510875325
204,"(23, 7)",0.8869309510875325
429,"(48, 7)",0.8869309510875325
231,"(26, 7)",0.8869309510875325
195,"(22, 7)",0.8869309510875325
240,"(27, 7)",0.8869309510875325
267,"(30, 7)",0.8869309510875325
186,"(21, 7)",0.8869309510875325
411,"(46, 7)",0.8869309510875325
249,"(28, 7)",0.8869309510875325
177,"(20, 7)",0.8869309510875325
258,"(29, 7)",0.8869309510875325
402,"(45, 7)",0.8869309510875325
303,"(34, 7)",0.8869309510875325
213,"(24, 7)",0.8869309510875325
357,"(40, 7)",0.8869309510875325
60,"(7, 7)",0.8869309510875325
69,"(8, 7)",0.8869309510875325
96,"(11, 7)",0.8869309510875325
87,"(10, 7)",0.8869309510875325
375,"(42, 7)",0.8869309510875325
321,"(36, 7)",0.8869309510875325
339,"(38, 7)",0.8869309510875325
312,"(35, 7)",0.8869309510875325
114,"(13, 7)",0.8869309510875325
51,"(6, 7)",0.8869309510875325
366,"(41, 7)",0.8869309510875325
105,"(12, 7)",0.8869309510875325
348,"(39, 7)",0.8869309510875325
330,"(37, 7)",0.8869309510875325
123,"(14, 7)",0.8869309510875325
24,"(3, 7)",0.8843701874268135
410,"(46, 6)",0.875667020820298
50,"(6, 6)",0.875667020820298
365,"(41, 6)",0.875667020820298
176,"(20, 6)",0.875667020820298
248,"(28, 6)",0.875667020820298
257,"(29, 6)",0.875667020820298
95,"(11, 6)",0.875667020820298
68,"(8, 6)",0.875667020820298
185,"(21, 6)",0.875667020820298
338,"(38, 6)",0.875667020820298
419,"(47, 6)",0.875667020820298
239,"(27, 6)",0.875667020820298
194,"(22, 6)",0.875667020820298
428,"(48, 6)",0.875667020820298
86,"(10, 6)",0.875667020820298
230,"(26, 6)",0.875667020820298
203,"(23, 6)",0.875667020820298
347,"(39, 6)",0.875667020820298
437,"(49, 6)",0.875667020820298
221,"(25, 6)",0.875667020820298
356,"(40, 6)",0.875667020820298
167,"(19, 6)",0.875667020820298
329,"(37, 6)",0.875667020820298
77,"(9, 6)",0.875667020820298
320,"(36, 6)",0.875667020820298
140,"(16, 6)",0.875667020820298
374,"(42, 6)",0.875667020820298
293,"(33, 6)",0.875667020820298
311,"(35, 6)",0.875667020820298
113,"(13, 6)",0.875667020820298
284,"(32, 6)",0.875667020820298
266,"(30, 6)",0.875667020820298
392,"(44, 6)",0.875667020820298
131,"(15, 6)",0.875667020820298
383,"(43, 6)",0.875667020820298
149,"(17, 6)",0.875667020820298
41,"(5, 6)",0.875667020820298
158,"(18, 6)",0.875667020820298
275,"(31, 6)",0.875667020820298
104,"(12, 6)",0.875667020820298
401,"(45, 6)",0.875667020820298
122,"(14, 6)",0.875667020820298
302,"(34, 6)",0.875667020820298
59,"(7, 6)",0.875667020820298
32,"(4, 6)",0.875667020820298
212,"(24, 6)",0.875667020820298
23,"(3, 6)",0.8730269428293205
382,"(43, 5)",0.8564791917638812
355,"(40, 5)",0.8564791917638812
229,"(26, 5)",0.8564791917638812
310,"(35, 5)",0.8564791917638812
346,"(39, 5)",0.8564791917638812
301,"(34, 5)",0.8564791917638812
292,"(33, 5)",0.8564791917638812
436,"(49, 5)",0.8564791917638812
265,"(30, 5)",0.8564791917638812
427,"(48, 5)",0.8564791917638812
391,"(44, 5)",0.8564791917638812
238,"(27, 5)",0.8564791917638812
418,"(47, 5)",0.8564791917638812
373,"(42, 5)",0.8564791917638812
337,"(38, 5)",0.8564791917638812
364,"(41, 5)",0.8564791917638812
247,"(28, 5)",0.8564791917638812
319,"(36, 5)",0.8564791917638812
409,"(46, 5)",0.8564791917638812
274,"(31, 5)",0.8564791917638812
256,"(29, 5)",0.8564791917638812
400,"(45, 5)",0.8564791917638812
328,"(37, 5)",0.8564791917638812
283,"(32, 5)",0.8564791917638812
220,"(25, 5)",0.8564791917638812
211,"(24, 5)",0.8564791917638812
49,"(6, 5)",0.8564791917638812
148,"(17, 5)",0.8564791917638812
139,"(16, 5)",0.8564791917638812
130,"(15, 5)",0.8564791917638812
166,"(19, 5)",0.8564791917638812
121,"(14, 5)",0.8564791917638812
112,"(13, 5)",0.8564791917638812
103,"(12, 5)",0.8564791917638812
175,"(20, 5)",0.8564791917638812
94,"(11, 5)",0.8564791917638812
85,"(10, 5)",0.8564791917638812
76,"(9, 5)",0.8564791917638812
67,"(8, 5)",0.8564791917638812
58,"(7, 5)",0.8564791917638812
193,"(22, 5)",0.8564791917638812
184,"(21, 5)",0.8564791917638812
157,"(18, 5)",0.8564791917638812
22,"(3, 5)",0.8564791917638812
40,"(5, 5)",0.8564791917638812
202,"(23, 5)",0.8564791917638812
31,"(4, 5)",0.8564791917638812
408,"(46, 4)",0.8391169967032871
111,"(13, 4)",0.8391169967032871
309,"(35, 4)",0.8391169967032871
120,"(14, 4)",0.8391169967032871
21,"(3, 4)",0.8391169967032871
300,"(34, 4)",0.8391169967032871
129,"(15, 4)",0.8391169967032871
399,"(45, 4)",0.8391169967032871
417,"(47, 4)",0.8391169967032871
291,"(33, 4)",0.8391169967032871
138,"(16, 4)",0.8391169967032871
426,"(48, 4)",0.8391169967032871
282,"(32, 4)",0.8391169967032871
147,"(17, 4)",0.8391169967032871
435,"(49, 4)",0.8391169967032871
318,"(36, 4)",0.8391169967032871
48,"(6, 4)",0.8391169967032871
30,"(4, 4)",0.8391169967032871
75,"(9, 4)",0.8391169967032871
381,"(43, 4)",0.8391169967032871
57,"(7, 4)",0.8391169967032871
363,"(41, 4)",0.8391169967032871
66,"(8, 4)",0.8391169967032871
39,"(5, 4)",0.8391169967032871
354,"(40, 4)",0.8391169967032871
390,"(44, 4)",0.8391169967032871
372,"(42, 4)",0.8391169967032871
273,"(31, 4)",0.8391169967032871
345,"(39, 4)",0.8391169967032871
84,"(10, 4)",0.8391169967032871
336,"(38, 4)",0.8391169967032871
93,"(11, 4)",0.8391169967032871
210,"(24, 4)",0.8391169967032871
102,"(12, 4)",0.8391169967032871
327,"(37, 4)",0.8391169967032871
228,"(26, 4)",0.8391169967032871
165,"(19, 4)",0.8391169967032871
264,"(30, 4)",0.8391169967032871
255,"(29, 4)",0.8391169967032871
246,"(28, 4)",0.8391169967032871
237,"(27, 4)",0.8391169967032871
192,"(22, 4)",0.8391169967032871
219,"(25, 4)",0.8391169967032871
183,"(21, 4)",0.8391169967032871
201,"(23, 4)",0.8391169967032871
156,"(18, 4)",0.8391169967032871
174,"(20, 4)",0.8391169967032871
17,"(2, 9)",0.8387246142845157
12,"(2, 4)",0.8387246142845157
16,"(2, 8)",0.8387246142845157
15,"(2, 7)",0.8387246142845157
14,"(2, 6)",0.8387246142845157
13,"(2, 5)",0.8387246142845157
344,"(39, 3)",0.8229337978019654
74,"(9, 3)",0.8229337978019654
29,"(4, 3)",0.8229337978019654
92,"(11, 3)",0.8229337978019654
245,"(28, 3)",0.8229337978019654
416,"(47, 3)",0.8229337978019654
182,"(21, 3)",0.8229337978019654
11,"(2, 3)",0.8229337978019654
101,"(12, 3)",0.8229337978019654
326,"(37, 3)",0.8229337978019654
83,"(10, 3)",0.8229337978019654
